1) Personas especialmente entrenados en CIENCIAS DE LA NUTRICIÓN . 2) Dietista: Personas especialmente entrenadas y licenciadas in CIENCIAS DE LA NUTRICIÓN y DIETÉTICA . 3) Nutricionista: Profesional que aplica la ciencia de la nutrición a la promoción de la salud y al control de enfermedades, instruye a personal médico auxiliar y participa de la evaluación en salud pública. En Brasil al nutricionista le cabe también la elaboración de dietas y menus	1 ) persona especialmente entrenar en ciencia de el nutrición . 2 ) dietista : persona especialmente entrenar y licenciar in ciencia de el nutrición y dietética . 3 ) nutricionista : profesional que aplicar el ciencia de el nutrición a el promoción de el salud y a+el control de enfermedad , instruir a personal médico auxiliar y participar de el evaluación en salud público . en brasil a+el nutricionista le caber también el elaboración de dieta y menus
A finales de la Edad Media los barberos también hacían sangrías, vendían ungüentos, extraían dientes, aplicaban ventosas, y ponían enemas. Ellos generalmente tenían derecho a practicar la cirugía . En el siglo XVIII los barberos continuaron practicando la cirugía menor y la odontología y muchos cirujanos famosos adquirieron sus habilidades en las tiendas de los barberos. ( Traducción libre del original: Castiglioni, A History of Medicine, 2d ed, pp402, 568, 658	a final de el edad medio el barbero también hacer sangría , vender ungüento , extraer diente , aplicar ventoso , y poner enema . ellos generalmente tener derecho a practicar el cirugía . en el siglo xviii el barbero continuar practicar el cirugía menor y el odontología y mucho cirujano famoso adquirir su habilidad en el tienda de el barbero . ( traducción libre de+el original : castiglioni , a history of medicinar , 2 d ed , pp402 , 568 , 658
Acompañantes de Pacientes	acompañante de paciente
Administradores de Hospital	administrador de hospital
Administradores de Instituciones de Salud	administrador de institución de salud
Agente Comunitario de Salud	agente comunitario de salud
Agentes Comunitarios de Salud	agente comunitario de salud
Agentes de Salud Comunitaria	agente de salud comunitario
Agentes de la ley responsabilizados de mantener y hacer cumplir la ley y el orden entre la ciudadanía	agente de el ley responsabilizar de mantener y hacer cumplir el ley y el orden entre el ciudadanía
Anestesistas	anestesista
Aquellas personas expertas en anatomía o disección	aquel persona experto en anatomía o disección
Aquellas personas legalmente calificadas mediante la educación y el entrenamiento para desempeñarse en la práctica de la farmacia	aquel persona legalmente calificar mediante el educación y el entrenamiento para desempeñar+se en el práctica de el farmacia
Aquellos individuos que se desempeñan en la investigación . (DeCS). Profesionales que trabajan en la concepción o creación de nuevos conocimientos, productos, procesos, métodos o sistemas y en la gestión de dichos proyectos , involucrando tanto las actividades científicas como las tecnológicas (RICYT)	aquel individuo que se desempeñar en el investigación . ( decs ) . profesional que trabajar en el concepción o creación de nuevo conocimiento , producto , proceso , método o sistema y en el gestión de decir proyecto , involucrar tanto el actividad científico como el tecnológico ( ricyt )
Archiveros de Hospital	archivero de hospital
Asistentes Anestesistas	asistente anestesista
Asistentes Médicos	asistente médico
Asistentes Oftalmológicos	asistente oftalmológico
Asistentes de Fisioterapeutas	asistente de fisioterapeuta
Asistentes de Hospital Psiquiatrico	asistente de hospital psiquiatrico
Asistentes de Salud	asistente de salud
Asistentes de los Médicos	asistente de el médico
Asistentes de veterinarios , biólogos, biomédicos u otros científicos ocupados en la atención y manejo de animales , y que son entrenados en principios básicos de procesos de vida animal, rutina de laboratorio y procedimientos de atención de salud animal	asistente de veterinario , biólogo , biomédico u otro científico ocupar en el atención y manejo de animal , y que ser entrenar en principio básico de proceso de vida animal , rutina de laboratorio y procedimiento de atención de salud animal
Audiólogos	audiólogos
Auxiliares Domésticos de Salud a Domicilio	auxiliar doméstico de salud a domicilio
Auxiliares de Atención a Domicilio	auxiliar de atención a domicilio
Auxiliares de Cirugía	auxiliar de cirugía
Auxiliares de Enfermeras	auxiliar de enfermero
Auxiliares de Psiquiatría	auxiliar de psiquiatría
Auxiliares de Quirófano	auxiliar de quirófano
Auxiliares de Salud Comunitaria	auxiliar de salud comunitario
Auxiliares de Salud a Domicilio	auxiliar de salud a domicilio
Auxiliares de Urgencia	auxiliar de urgencia
Ayudante de los Enfermeros	ayudante de el enfermero
Bibliotecaria	bibliotecario
Bibliotecarias	bibliotecario
Bibliotecario	bibliotecario
Bibliotecóloga	bibliotecóloga
Bibliotecólogas	bibliotecólogas
Bibliotecólogo	bibliotecólogo
Bibliotecólogos	bibliotecólogos
Bioeticistas	bioeticistas
Brigada contra Incendio	brigada contra incendio
Brigada de Incendio	brigada de incendio
Brigadas contra Incendios	brigada contra incendio
Brigadas de Incendios	brigada de incendio
CDO	cdo
CIO	cio
CISO	ciso
CTO	cto
Capellanes	capellán
Chaperones Médicos	chaperón médico
Cirujanos Oromaxilofaciales	cirujano oromaxilofaciales
Cirujanos orales y maxilofaciales	cirujano oral y maxilofacial
Clínicos Generales	clínico general
Cuerpo Médico	cuerpo médico
Cuerpo Médico Hospitalario	cuerpo médico hospitalario
Cuerpo Médico de Hospitales	cuerpo médico de hospital
Cuerpo de Bomberos	cuerpo de bombero
Cuerpos de Bomberos	cuerpo de bombero
Cuidador Familiar	cuidador familiar
Cuidadores	cuidador
Cuidadores Familiares	cuidador familiar
Cuidadores de Esposos	cuidador de esposo
Cuidadores de Familia	cuidador de familia
Curas	cura
Dentistas Mujeres	dentista mujer
Dentistas especializados en el tratamiento de lesiones y enfermedades de la PULPA DENTAL	dentista especializar en el tratamiento de lesión y enfermedad de el pulpa dental
Dentistas especializados en el tratamiento de los DIENTES mal alineados y MALOCLUSIÓN	dentista especializar en el tratamiento de el diente mal alinear y maloclusión
Dentistas que se especializan en el tratamiento quirúrgico de las lesiones, enfermedades y anomalías de las regiones orales y maxilofaciales	dentista que se especializar en el tratamiento quirúrgico de el lesión , enfermedad y anomalía de el región oral y maxilofacial
Dentistas que son mujeres	dentista que ser mujer
Despachador de Emergencia Policial	despachador de emergencia policial
Despachador de Emergencias Médicas	despachador de emergencia médico
Despachador de la Policía de Emergencia	despachador de el policía de emergencia
Directores de Hospitales	director de hospital
Diáconos	diácono
Docente	docente
Docente Médico	docente médico
Docente de Enfermería	docente de enfermería
Docente de Farmacia	docente de farmacia
Docente de Odontología	docente de odontología
Docentes	docente
Docentes Médicos	docente médico
Docentes de Farmacia	docente de farmacia
Doulas	doulas
Educador	educador
Educadores	educador
Educadores de la Salud	educador de el salud
Ejecutivos Médicos	ejecutivo médico
El profesorado y miembros del personal administrativo que tienen rango académico en una escuela de enfermería	el profesorado y miembro de+el personal administrativo que tener rango académico en uno escuela de enfermería
El profesorado y miembros del personal administrativo que tienen rango académico en una escuela de odontología	el profesorado y miembro de+el personal administrativo que tener rango académico en uno escuela de odontología
Enfermera Anestesista	enfermero anestesista
Enfermera Obstetriz	enfermero obstetriz
Enfermera y Enfermero	enfermero y enfermero
Enfermeras Administradoras	enfermero administrador
Enfermeras Anestesistas	enfermero anestesista
Enfermeras Clínicas	enfermero clínico
Enfermeras Practicantes	enfermero practicante
Enfermeras de Odontología	enfermero de odontología
Enfermeras en Salud Comunitaria	enfermero en salud comunitario
Enfermeras en Salud Pública	enfermero en salud público
Enfermeras profesionales con post-graduación en la administración de anestesia	enfermero profesional con post-graduación en el administración de anestesia
Enfermeras profesionalmente especializadas en administración	enfermero profesionalmente especializar en administración
Enfermeras que son especialmente entrenadas para asumir la atención directa al paciente bajo la supervisión de un médico	enfermero que ser especialmente entrenar para asumir el atención directo a+el paciente bajo el supervisión de uno médico
Enfermeras universitarias que poseen grado de maestro en enfermeria con enfasis en clínica médica y que actuan independientemente en la coordinación de planes de atención a pacientes	enfermero universitario que poseer grado de maestro en enfermeria con enfasis en clínica médico y que actuan independientemente en el coordinación de plan de atención a paciente
Enfermeras y Enfermeros	enfermero y enfermero
Enfermero Anestesista	enfermero anestesista
Enfermero y Enfermera	enfermero y enfermero
Enfermeros	enfermero
Enfermeros Anestesistas	enfermero anestesista
Enfermeros Obstétricos	enfermero obstétrico
Enfermeros en Salud Pública	enfermero en salud público
Enfermeros profesionales que han recibido formación de posgrado en TOCOLOGIA	enfermero profesional que haber recibir formación de posgrado en tocologia
Enfermeros y Enfermeras	enfermero y enfermero
Especialista en Bioética	especialista en bioética
Especialista en Ética	especialista en ética
Especialistas en Enfermería	especialista en enfermería
Especialistas en Enfermería Clínica	especialista en enfermería clínico
Especialistas en el manejo de una bibioteca o de los servicios prestados por una biblioteca, que aportan calificación profesional a la adminstración, organización del material y del personal, interpretación de las reglas bibliotecarias, desarrollo y mantenimiento de las colecciones de la biblioteca y prestación de servicios de información	especialista en el manejo de uno bibioteca o de el servicio prestar por uno biblioteca , que aportar calificación profesional a el adminstración , organización de+el material y de+el personal , interpretación de el regla bibliotecario , desarrollo y mantenimiento de el colección de el biblioteca y prestación de servicio de información
Examinadores Médicos	examinador médico
Experto en Bioética	experto en bioética
Experto en Ética	experto en ética
Farmacéuticos Minoristas	farmacéutico minorista
Feldshers	feldshers
Fisiatras	fisiatras
Funcionários de Gobierno	funcionários de gobierno
Gerente de tienda de artesanía	gerente de tienda de artesanía
Gerente de tienda de confitería y golosinas	gerente de tienda de confitería y golosina
Gerente de tienda de cosmética y perfumería	gerente de tienda de cosmética y perfumería
Gestor de Casos	gestor de caso
Gestores de Casos	gestor de caso
Guarda Costa	guardar costa
Guardianes Psiquiátricos	guardián psiquiátrico
Histopatólogos	histopatólogos
Imames	imam
Individuos autorizados para practicar la ODONTOLOGÍA	individuo autorizar para practicar el odontología
Individuos con un título en medicina veterinaria que les proporciona entrenamiento y calificación para tratar las enfermedades y lesiones de los animales	individuo con uno título en medicina veterinario que les proporcionar entrenamiento y calificación para tratar el enfermedad y lesión de el animal
Individuos que asisten al dentista o al higienista. dentário	individuo que asistir a+el dentista o a+el higienista . dentário
Individuos que brindan sus servicios al hospital	individuo que brindar su servicio a+el hospital
Individuos que reciben a los pacientes en un consultório médico	individuo que recibir a el paciente en uno consultório médico
Individuos que reciben capacitación , formal o en el trabajo , para asistir como auxiliares (de farmacia , de médicos , etc) al personal profesional altamente capacitado	individuo que recibir capacitación , formal o en el trabajo , para asistir como auxiliar ( de farmacia , de médico , etc_. ) a+el personal profesional altamente capacitar
Individuos que tienen la autoridad formal para dirigir un hospital, incluyendo sus programas y servicios, en concordancia con las metas y objetivos establecidos por un cuerpo gobernante (U	individuo que tener el autoridad formal para dirigir uno hospital , incluir su programa y servicio , en concordancia con el meta y objetivo establecer por uno cuerpo gobernante ( u
Individuos que trabajan en la prestación de servicios de salud , ya sea como practicantes individuales o como empleados de instituciones y programas de salud, aunque no tengan entrenamiento profesional, y estén o no sujetos a regulación pública	individuo que trabajar en el prestación de servicio de salud , ya ser como practicante individual o como empleado de institución y programa de salud , aunque no tener entrenamiento profesional , y estar o no sujeto a regulación público
Indivíduos profesionalmente calificados en la administración y manejo de los registros de pacientes . Use también para registros médicos técnicos	indivíduos profesionalmente calificar en el administración y manejo de el registro de paciente . usar también para registro médico técnico
Indivíduos responsables por el desarrollo de políticas y supervisión de la ejecución de planes y operaciones funcionales	indivíduos responsable por el desarrollo de político y supervisión de el ejecución de plan y operación funcional
Indivíduos responsables por la fabricación de dispositivos dentales	indivíduos responsable por el fabricación de dispositivo dental
Indivíduos responsables por las diferentes tareas relativas a la rutina de un consultorio médico	indivíduos responsable por el diferente tarea relativo a el rutina de uno consultorio médico
La mano de obra empleada por un hospital	el mano de obra emplear por uno hospital
Las enfermeras con títulos de posgrado en enfermería que atienden a los pacientes pediátricos que están graves o críticamente enfermos	el enfermero con título de posgrado en enfermería que atender a el paciente pediátrico que estar grave o críticamente enfermo
